,id,host_is_superhost,host_response_rate,host_response_time,host_listings_count,host_identity_verified,accommodates,neighbourhood_group_cleansed,property_type,room_type,latitude,longitude,guests_included,bathrooms,bedrooms,beds,bed_type,amenities,cleaning_fee,minimum_nights,maximum_nights,instant_bookable,cancellation_policy,price
4115,18527372,t,98%,within an hour,6,t,6,Central Area,Townhouse,Entire home/apt,47.602149043399,-122.31442829658941,6,2.0,3,3.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Private bathroom"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed""}",$120.00,2,15,t,strict_14_with_grace_period,$380.00
130,392779,f,90%,within an hour,1,t,4,Beacon Hill,Guest suite,Entire home/apt,47.57576948048579,-122.31636208846805,2,1.0,2,2.0,Real Bed,"{TV,Internet,Wifi,Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Long term stays allowed"",Other}",$85.00,3,300,t,moderate,$112.00
7054,26841053,f,100%,within a few hours,1,f,6,Queen Anne,Apartment,Entire home/apt,47.63543423753735,-122.36990508491958,1,1.0,3,5.0,Real Bed,"{TV,Wifi,Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Private entrance"",Bathtub,""Changing table"",""High chair"",""Stair gates"",""Children’s books and toys"",""Window guards"",Crib,""Room-darkening shades"",""Children’s dinnerware"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard""}",$120.00,3,29,f,strict_14_with_grace_period,$20.00
2648,13222846,f,100%,within an hour,7,t,4,Capitol Hill,Apartment,Entire home/apt,47.62249147323229,-122.31612459446212,2,1.0,2,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Paid parking on premises""}",$100.00,3,365,f,strict_14_with_grace_period,$280.00
5488,22152435,f,99%,within an hour,521,f,3,Downtown,Apartment,Entire home/apt,47.60405053152154,-122.33576197709058,2,1.0,1,1.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Gym,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",Lockbox,""Building staff"",""Private living room""}",$89.00,2,1125,t,strict,$199.00
8107,30745210,f,100%,within an hour,1,t,2,Other neighborhoods,Townhouse,Private room,47.66169370154745,-122.3510416949697,1,1.0,1,1.0,Real Bed,"{Wifi,Kitchen,""Pets allowed"",Breakfast,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Self check-in"",Keypad,""Private living room"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Step-free access"",""Step-free access"",""Step-free access""}",$25.00,1,45,t,flexible,$70.00
2425,12456183,t,86%,within a day,1,f,4,Lake City,Guest suite,Entire home/apt,47.71195060393932,-122.30235552701592,1,1.0,1,2.0,Real Bed,"{TV,Wifi,""Free parking on premises"",""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",$40.00,2,1125,t,moderate,$75.00
848,4360485,f,50%,within a day,3,t,2,Other neighborhoods,House,Private room,47.692747861067375,-122.35975682326522,1,1.0,1,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets live on this property"",Cat(s),Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Self check-in"",Keypad}",$50.00,14,1125,f,moderate,$63.00
432,1851863,t,100%,within an hour,1,t,2,Northgate,Apartment,Entire home/apt,47.69710277841381,-122.34455594705128,1,1.0,1,1.0,Real Bed,"{Wifi,Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Private entrance"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",$150.00,5,120,f,strict_14_with_grace_period,$95.00
7349,27900565,f,100%,within a few hours,1,f,3,Central Area,House,Private room,47.62954784216096,-122.28338720544956,2,1.0,1,2.0,Real Bed,"{TV,Wifi,""Free parking on premises"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Private entrance"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Host greets you""}",$25.00,2,1125,t,moderate,$90.00
